id,source,destination,shortest path length,diversion path length,sample time,target id
veh923,1694551384,34223059,650.381,705.201,22119,34168007
veh924,4511521221,6525672671,631.626,726.908,22270,703524044
veh925,1691695906,1767293922,632.354,699.990,22086,703524044
veh926,37897879,25475898,666.925,755.343,21619,108368
veh927,1143599071,198274,789.196,843.172,22386,34168007
veh928,27511218,31146497,716.686,731.536,22236,34168007
veh929,26592110,900761759,718.679,786.315,22181,703524044
veh930,2080482098,1699964757,667.225,753.464,22274,703524044
veh931,5155535429,29799478,666.132,677.628,22305,34168007
veh932,37891541,28800359,742.870,810.506,22278,703524044
veh933,25507340,1841465060,667.252,682.102,22292,34168007
veh934,6017105718,5659848631,679.758,735.587,22329,703524044
veh935,26593078,49502094,679.117,690.613,22404,34168007
veh936,1004427563,618348990,698.677,766.313,22276,703524044
veh937,96072211,198237,729.696,783.672,22392,34168007
veh938,3926057441,28800260,737.536,841.337,22249,1249708436
veh939,3044370436,18060025,689.038,731.216,22401,34168007
veh940,cluster_109679_1691189628_3818359146_5904372083,198247,712.230,768.059,22509,703524044
veh941,37888589,106861,701.024,757.046,22835,34168007
veh942,864927973,659503803,660.566,728.202,22444,703524044
veh943,1851328033,cluster_109376_47318732,657.075,721.170,22519,1249708436
veh944,5196228800,2460350728,621.111,659.986,22744,34168007
